userID,stepNumber,algorithm,task,edgeCrossingWeight,nodeOverlappingWeight,edgeCrossingAngleWeight,angularResolutionWeight,edgeLengthWeight,cameraOffset,,,,,,,,,,,,,,,
0,1,ConeBurst, Task1,0.9437238,0.9564659,1.043063,1.018079,1.038669,3,,,,,,,,,,,,,,,
0,2,ConeBurst, Task1,0.9884593,0.9654065,1.030427,1.032276,0.9834307,3,,,,,,,,,,,,,,,
0,3,ConeBurst, Task1,1.019891,0.9742407,1.02819,1.060938,0.9167404,3,,,,,,,,,,,,,,,
0,4,ConeBurst, Task1,1.07273,0.9832564,1.009356,1.065617,0.8690404,3,,,,,,,,,,,,,,,
0,5,ConeBurst, Task1,1.121764,0.9831958,0.9929562,1.083748,0.8183357,3,,,,,,,,,,,,,,,
0,6,ConeBurst, Task1,1.181212,0.9815519,0.9704048,1.0923,0.7745309,3,,,,,,,,,,,,,,,
0,7,ConeBurst, Task1,1.244379,0.9721418,0.9470451,1.104156,0.7322791,3,,,,,,,,,,,,,,,
0,8,ConeBurst, Task1,1.320094,0.9683632,0.9198709,1.095839,0.6958336,3,,,,,,,,,,,,,,,
0,9,ConeBurst, Task1,1.375,0.9694002,0.9025103,1.104943,0.6481465,3,,,,,,,,,,,,,,,
0,10,ConeBurst, Task1,1.451149,0.9552831,0.8762664,1.108179,0.6091223,3,,,,,,,,,,,,,,,
0,11,ConeBurst, Task1,1.528176,0.9447438,0.8464866,1.111404,0.5691891,3,,,,,,,,,,,,,,,
0,12,ConeBurst, Task1,1.613502,0.9351,0.8190852,1.101502,0.5308107,3,,,,,,,,,,,,,,,
0,13,ConeBurst, Task1,1.707088,0.9223325,0.7914481,1.079053,0.500079,3,,,,,,,,,,,,,,,
0,14,ConeBurst, Task1,1.795817,0.9133066,0.7577909,1.06762,0.4654649,3,,,,,,,,,,,,,,,
0,15,ConeBurst, Task1,1.896545,0.8900769,0.7272429,1.05407,0.4320641,3,,,,,,,,,,,,,,,
0,16,ConeBurst, Task1,1.810584,0.8987327,0.7538527,1.082569,0.4542611,3,,,,,,,,,,,,,,,
0,17,ConeBurst, Task1,1.727011,0.9115915,0.7794791,1.110972,0.4709465,3,,,,,,,,,,,,,,,
0,18,ConeBurst, Task1,1.721826,0.9493861,0.7784543,1.047505,0.5028287,3,,,,,,,,,,,,,,,
0,19,ConeBurst, Task1,1.700508,0.966047,0.7859255,0.995694,0.5518252,3,,,,,,,,,,,,,,,
0,20,ConeBurst, Task1,1.708656,0.9833442,0.7811953,0.933035,0.5937692,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,edgeCrossingWeight,0.9437238,0.9884593,1.019891,1.07273,1.121764,1.181212,1.244379,1.320094,1.375,1.451149,1.528176,1.613502,1.707088,1.795817,1.896545,1.810584,1.727011,1.721826,1.700508,1.708656
,,,,nodeOverlappingWeight,0.9564659,0.9654065,0.9742407,0.9832564,0.9831958,0.9815519,0.9721418,0.9683632,0.9694002,0.9552831,0.9447438,0.9351,0.9223325,0.9133066,0.8900769,0.8987327,0.9115915,0.9493861,0.966047,0.9833442
,,,,edgeCrossingAngleWeight,1.043063,1.030427,1.02819,1.009356,0.9929562,0.9704048,0.9470451,0.9198709,0.9025103,0.8762664,0.8464866,0.8190852,0.7914481,0.7577909,0.7272429,0.7538527,0.7794791,0.7784543,0.7859255,0.7811953
,,,,angularResolutionWeight,1.018079,1.032276,1.060938,1.065617,1.083748,1.0923,1.104156,1.095839,1.104943,1.108179,1.111404,1.101502,1.079053,1.06762,1.05407,1.082569,1.110972,1.047505,0.995694,0.933035
,,,,edgeLengthWeight,1.038669,0.9834307,0.9167404,0.8690404,0.8183357,0.7745309,0.7322791,0.6958336,0.6481465,0.6091223,0.5691891,0.5308107,0.500079,0.4654649,0.4320641,0.4542611,0.4709465,0.5028287,0.5518252,0.5937692
