step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.5410576,0.4310774,0.4906423,0.7383819,0.7100859,0.3351008,334.3538
1,0.5920358,0.4259555,0.6173168,0.6764222,0.5178944,0.72259,336.4131
2,0.5407052,0.4259555,0.5633907,0.7068072,0.4859528,0.52142,336.9118
3,0.5922315,0.4425879,0.5236598,0.7594633,0.5906741,0.6447721,407.8624
4,0.5816924,0.5112507,0.6213298,0.766082,0.5936977,0.4161017,409.3174
5,0.4827912,0.2141595,0.3459492,0.7149847,0.4927696,0.6460931,343.5367
6,0.5697706,0.4843428,0.5886284,0.7660822,0.5936977,0.4161018,344.927
7,0.581452,0.3811181,0.5523362,0.7476243,0.5724093,0.6537718,345.9158
8,0.5352052,0.337528,0.4229072,0.8011246,0.8203721,0.2940944,426.0657
9,0.565263,0.5073181,0.5164855,0.749952,0.5310202,0.5215392,352.3185
10,0.4940352,0.2147747,0.3232794,0.7251453,0.5084566,0.6985198,353.2233
11,0.5491468,0.5073181,0.4842051,0.6785278,0.5815935,0.4940898,433.76
12,0.4712133,0.1784663,0.308478,0.7042862,0.4604219,0.7044141,357.5901
13,0.5846968,0.4012455,0.4717793,0.8064929,0.61792,0.6260462,357.5901
14,0.5099443,0.3362806,0.3580545,0.7194027,0.8120599,0.3239236,359.312
15,0.5201942,0.2662741,0.39574,0.6841647,0.5756675,0.6791246,359.9324
16,0.5119851,0.2365211,0.3154325,0.7259212,0.6104439,0.6716065,359.9324
17,0.4753249,0.1665685,0.2162974,0.7263348,0.4515456,0.8158781,361.9523
18,0.4902102,0.2779642,0.2985227,0.7647104,0.783082,0.3267716,363.7964
19,0.4793598,0.2802003,0.2642236,0.7132743,0.792203,0.3468979,447.8146

