option,overallGrade,edgeCrossGrade,nodeOverlapGrade,edgeCrossAngleGrade,angularResolutionGrade,edgeLengthGrade,passedTime
chosenOption,0.6672546,0.7681724,0.6305648,0.7098284,0.4918228,0.7358845,29.56311
chosenOption,0.6701616,0.7908075,0.6406729,0.6924102,0.4623356,0.7645818,3.603839
chosenOption,0.7009725,0.799606,0.6665511,0.7117081,0.4610972,0.8659,6.505074
chosenOption,0.6712117,0.7929012,0.61208,0.6907684,0.3725639,0.8877447,4.321858
chosenOption,0.5854523,0.6102477,0.5453631,0.6546317,0.5205887,0.5964305,8.842407
chosenOption,0.6697263,0.8562915,0.6616142,0.6725695,0.383187,0.7749692,6.469377
chosenOption,0.6801469,0.8869439,0.6849549,0.6140073,0.3607643,0.8540639,1.233356
chosenOption,0.6743056,0.9116802,0.6642164,0.6242008,0.3322333,0.8391976,3.495971
chosenOption,0.6819704,0.9004719,0.7236436,0.5595608,0.3322652,0.893911,4.076773
chosenOption,0.5671424,0.8155697,0.5098279,0.53736,0.3636114,0.6093433,8.383615
chosenOption,0.714745,1.005448,0.7186449,0.5633126,0.3041971,0.9821226,1.942204
chosenOption,0.5783011,0.8510198,0.5367598,0.5220863,0.3554579,0.6261817,5.318327
chosenOption,0.6825366,1.093566,0.6617796,0.5313316,0.2604417,0.8655638,2.355495
chosenOption,0.6884645,1.142889,0.6094161,0.4647362,0.2684926,0.956789,7.720618
chosenOption,0.7330809,1.236556,0.6568065,0.4901325,0.2657779,1.016132,5.776285
chosenOption,0.7019165,1.210786,0.6979398,0.4266953,0.1924325,0.9817285,5.390145
chosenOption,0.7044735,1.297558,0.6372077,0.3827688,0.1836096,1.021223,5.016045
chosenOption,0.7015303,1.352437,0.5525774,0.3433726,0.1841194,1.075145,4.509081
chosenOption,0.7438719,1.456684,0.5842052,0.3520079,0.1740901,1.152372,5.199592
chosenOption,0.7392022,1.546168,0.5952144,0.2964054,0.1160092,1.142214,7.209331

