step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.5606406,0.6894947,0.6076112,0.739814,0.481296,0.2849872,33.46646
1,0.5136576,0.3469516,0.436755,0.7674254,0.5248666,0.4922891,8.491307
2,0.6006225,0.6894946,0.6375644,0.771467,0.5018557,0.4027309,5.165213
3,0.5808842,0.6729544,0.4761694,0.7634369,0.4944834,0.497377,4.894185
4,0.5846988,0.778509,0.5832363,0.8059705,0.4635794,0.2921987,11.71173
5,0.5758642,0.7584442,0.6076112,0.8137952,0.4572312,0.2422391,4.995723
6,0.6144335,0.7929189,0.520793,0.842246,0.4914382,0.4247714,3.941546
7,0.6300818,0.8897246,0.5792267,0.8813977,0.4711908,0.3288691,10.3711
8,0.6341206,0.8618681,0.5593998,0.9554347,0.450114,0.3437866,4.909524
9,0.6754364,0.9638689,0.5872604,1.025184,0.4419991,0.3588696,5.964037
10,0.621591,0.6896521,0.6379918,0.9965482,0.4134145,0.3703487,3.561
11,0.6643831,0.9308182,0.6153399,1.031869,0.4001013,0.3437867,4.342589
12,0.6397746,0.7151951,0.6548898,1.02561,0.4131564,0.3900219,5.262798
13,0.6038164,0.6603557,0.6459864,1.006284,0.3847617,0.3216944,4.706294
14,0.6726649,1.038013,0.6371494,1.028297,0.3926589,0.2672062,3.374725
15,0.6323392,0.740738,0.6683723,1.070367,0.3647774,0.3174417,7.775334
16,0.6905546,0.9997677,0.6846578,1.064603,0.3660154,0.3377289,4.343402
17,0.724827,1.112156,0.7193093,1.085633,0.348053,0.3589835,7.167347
18,0.7232916,1.149227,0.6950719,1.138471,0.3664817,0.2672062,1.528681
19,0.735236,1.186299,0.7242121,1.104869,0.371274,0.289526,2.957483

