edge crossing weight,node overlap weight,edge crossing angle weight,angular resolution weight,edge length weight
0.4876772,0.5133444,0.5133444,0.4876772,0.5390116
0.584047,0.6455256,0.6455256,0.5533077,0.6762648
0.6340071,0.6974077,0.6974077,0.5706064,0.7291081
0.4742602,0.4979732,0.4979732,0.4505472,0.5216861
0.6541616,0.6853122,0.6541616,0.56071,0.7164627
0.7117521,0.7441044,0.7117521,0.614695,0.7764568
0.6983455,0.7618313,0.7300884,0.6031166,0.7935743
0.690038,0.784134,0.690038,0.6273073,0.8154993
0.6852676,0.8098616,0.7164161,0.591822,0.8098616
0.6294361,0.743879,0.6580468,0.5149933,0.7724897
0.5250933,0.625111,0.5500977,0.4750844,0.7001242
0.6941403,0.8203474,0.6941403,0.6310366,0.883451
0.6695099,0.8216711,0.6390777,0.6390777,0.8825356
0.527263,0.5960364,0.4584896,0.4814141,0.6418853
0.7222427,0.84785,0.6280372,0.6280372,0.9106537
0.5474302,0.671846,0.4727806,0.5225469,0.7464955
0.5586014,0.7182016,0.5320013,0.5586014,0.8246018
0.6227804,0.8303736,0.5931242,0.6227804,0.9193422
0.6968814,0.9186162,0.6335285,0.6335285,1.013645
0.6660988,0.9083164,0.6358216,0.6358216,0.9688708

