option,overallGrade,edgeCrossGrade,nodeOverlapGrade,edgeCrossAngleGrade,angularResolutionGrade,edgeLengthGrade,passedTime
alt1,0.5733566,0.3238224,0.5031828,0.7358404,0.7184258,0.5855117,45.47161
alt1,0.6876702,0.7638704,0.6604813,0.7587597,0.5062889,0.7489507,5.997242
alt1,0.6629443,0.6650208,0.6932092,0.6868801,0.6237974,0.6458138,2.089534
alt1,0.5276756,0.4097494,0.5508758,0.7229464,0.6809291,0.2738776,0.9441286
alt1,0.5592679,0.4698401,0.574213,0.7389966,0.6558067,0.3574833,2.120507
alt1,0.5150829,0.4318695,0.5506022,0.6906778,0.6056715,0.2965934,7.674032
alt1,0.4614961,0.340334,0.3989542,0.6925929,0.4501712,0.425428,0
alt1,0.6075995,0.4649891,0.5497848,0.6353124,0.5501445,0.8377669,4.810901
alt1,0.487762,0.3099304,0.4899111,0.6522282,0.6824158,0.3043244,8.367582
alt1,0.64473,0.5187513,0.5180249,0.6373441,0.5067556,1.042774,3.824826
alt1,0.5764039,0.3517653,0.4836153,0.66223,0.5227504,0.8616583,2.73652
alt1,0.5652829,0.2910903,0.5110417,0.6629289,0.5038256,0.8575283,19.94968
alt1,0.559723,0.3497301,0.4807714,0.6599312,0.5271337,0.7810484,4.763289
alt1,0.6946282,0.8309053,0.6395553,0.6977902,0.4058955,0.898995,4.967103
alt1,0.5594133,0.3118346,0.5097122,0.6646672,0.5140799,0.7967725,4.25806
alt1,0.5718402,0.3844904,0.4973877,0.6928126,0.5783139,0.7061964,2.716542
alt1,0.5189176,0.3330249,0.4184944,0.6816522,0.5714359,0.5899804,4.899785
alt1,0.5219981,0.3275286,0.5224037,0.6726188,0.5401894,0.5472501,3.431426
alt1,0.5573015,0.3908592,0.5229567,0.6990598,0.6354457,0.5381861,1.774939
alt1,0.6878154,0.8276879,0.6882941,0.7019027,0.4196281,0.8015644,3.992867

