option,overallGrade,edgeCrossGrade,nodeOverlapGrade,edgeCrossAngleGrade,angularResolutionGrade,edgeLengthGrade,passedTime
alt1,0.5156621,0.3627892,0.4358558,0.6953739,0.8457268,0.2385649,8.067319
alt1,0.6484886,0.7382619,0.6208389,0.7193261,0.4130526,0.7509636,10.023
alt1,0.6063483,0.5916299,0.6183228,0.755919,0.68163,0.3842403,11.12037
alt1,0.5247821,0.3449608,0.4273677,0.7129707,0.9069966,0.2316144,5.413774
alt1,0.5986898,0.5699686,0.6410052,0.7270327,0.6967925,0.35865,5.731096
alt1,0.5986435,0.6093119,0.6168194,0.7542394,0.6792327,0.333614,13.55081
alt1,0.6153799,0.631079,0.7150658,0.7253785,0.6479557,0.3574208,10.05119
alt1,0.6019587,0.6247241,0.6418742,0.7373359,0.6029054,0.402954,6.552044
alt1,0.587395,0.6345631,0.6074249,0.7282712,0.5791608,0.3875551,6.45144
alt1,0.4325627,0.2809989,0.45842,0.670998,0.6136295,0.1387671,2.999872
alt1,0.4609757,0.3823721,0.3972788,0.6826732,0.6481938,0.1943606,7.297341
alt1,0.6006544,0.6965415,0.6662051,0.6844169,0.4491408,0.5069672,2.599552
alt1,0.5823163,0.6625604,0.6030038,0.6705611,0.4557162,0.5197399,11.66144
alt1,0.4355054,0.3887253,0.3767123,0.637052,0.5465951,0.228442,5.696123
alt1,0.5632259,0.6399214,0.5790823,0.6095031,0.3948416,0.5927811,6.459586
alt1,0.5923117,0.6990272,0.6452491,0.6521331,0.3997379,0.5654114,13.22592
alt1,0.4072519,0.2846472,0.4342331,0.6297261,0.5231088,0.1645442,16.37309
alt1,0.453353,0.3616217,0.4179523,0.6410857,0.5649768,0.2811286,1.409737
alt1,0.6559615,0.737326,0.5187755,0.6217113,0.2614523,1.140542,3.127358
alt1,0.6667828,0.786755,0.5826285,0.6331171,0.2807278,1.050686,1.665686

