option,overallGrade,edgeCrossGrade,nodeOverlapGrade,edgeCrossAngleGrade,angularResolutionGrade,edgeLengthGrade,passedTime
chosenOption,0.6392795,0.6771219,0.6060611,0.7627446,0.4184286,0.7320412,24.11216
chosenOption,0.4669238,0.307278,0.3863523,0.6552321,0.76094,0.2248163,12.90241
chosenOption,0.5182824,0.3258402,0.442456,0.7416416,0.8871602,0.1943142,10.45603
chosenOption,0.6179731,0.6086231,0.6634142,0.7625163,0.6745957,0.380716,10.66163
chosenOption,0.6417704,0.7150138,0.6380396,0.7347793,0.4605983,0.6604211,9.762322
chosenOption,0.6471345,0.6705557,0.6314554,0.773829,0.4401378,0.7196945,12.02601
chosenOption,0.6241108,0.6434141,0.609031,0.7100477,0.4205568,0.7375047,12.40566
chosenOption,0.6346555,0.7003997,0.5813001,0.7199101,0.3866412,0.7850268,8.977443
chosenOption,0.6477579,0.7114305,0.6160489,0.742258,0.3542854,0.8147667,3.540884
chosenOption,0.6566182,0.7737904,0.6278384,0.6951658,0.3487852,0.8375114,4.619217
chosenOption,0.6612813,0.72064,0.6110862,0.7214156,0.3339876,0.9192773,6.730148
chosenOption,0.6674591,0.7643198,0.5718976,0.6756916,0.3803676,0.9450189,5.45207
chosenOption,0.6588505,0.7428193,0.5836729,0.6845777,0.2827699,1.000413,3.908846
chosenOption,0.6527094,0.7463413,0.5371009,0.6395906,0.2747866,1.065727,4.03287
chosenOption,0.4642381,0.445361,0.5294123,0.5733557,0.4613385,0.3117233,14.22624
chosenOption,0.4606104,0.3962008,0.4156658,0.6097598,0.5374492,0.3439767,11.0732
chosenOption,0.6696185,0.7561683,0.5568019,0.6623353,0.3625785,1.010208,3.598012
chosenOption,0.6615914,0.7361352,0.5653552,0.6670858,0.2693493,1.070031,2.620006
chosenOption,0.4635088,0.4398282,0.5212816,0.5737079,0.4668308,0.3158955,3.069086
chosenOption,0.4351416,0.3811039,0.3735256,0.636063,0.5527979,0.2322178,4.579945

