userID,stepNumber,algorithm,task,edgeCrossingWeight,nodeOverlappingWeight,edgeCrossingAngleWeight,angularResolutionWeight,edgeLengthWeight,cameraOffset
2,1,ConeBurst, Task1,1.01401,1.000775,0.9946295,0.9455284,1.045058,3
2,2,ConeBurst, Task1,0.9795824,0.9875256,1.011767,1.010802,1.010324,3
2,3,ConeBurst, Task1,0.9508573,0.9805255,1.025306,1.072446,0.9708654,3
2,4,ConeBurst, Task1,0.9820784,1.028502,1.015997,1.054366,0.9190568,3
2,5,ConeBurst, Task1,1.008859,1.032201,1.00784,0.9930049,0.9580948,3
2,6,ConeBurst, Task1,1.024644,1.02884,0.9987151,0.9414107,1.006391,3
2,7,ConeBurst, Task1,1.034378,1.02514,0.9868942,0.8940594,1.05953,3
2,8,ConeBurst, Task1,1.050668,1.01648,0.9731408,0.8467046,1.113007,3
2,9,ConeBurst, Task1,1.062809,1.012057,0.9612225,0.7984123,1.165499,3
2,10,ConeBurst, Task1,1.084212,0.9989047,0.9395768,0.753517,1.22379,3
2,11,ConeBurst, Task1,1.088213,0.9846504,0.9202905,0.7140267,1.292819,3
2,12,ConeBurst, Task1,1.097025,0.9630596,0.8975189,0.67579,1.366607,3
2,13,ConeBurst, Task1,1.102226,0.9471928,0.8767875,0.6354098,1.438383,3
2,14,ConeBurst, Task1,1.10261,0.9291453,0.8517545,0.5974629,1.519028,3
2,15,ConeBurst, Task1,1.092096,0.9536774,0.8768805,0.635488,1.441858,3
2,16,ConeBurst, Task1,1.076607,0.9586598,0.9020993,0.6806331,1.382,3
2,17,ConeBurst, Task1,1.087153,0.9328353,0.874586,0.6437163,1.461709,3
2,18,ConeBurst, Task1,1.088912,0.9148756,0.8522777,0.6045758,1.539359,3
2,19,ConeBurst, Task1,1.080616,0.9391804,0.8754263,0.6426205,1.462157,3
2,20,ConeBurst, Task1,1.069417,0.9449659,0.906056,0.6843224,1.395239,3

