edge crossing weight,node overlap weight,edge crossing angle weight,angular resolution weight,edge length weight
0.6712434,0.6712434,0.6712434,0.6073155,0.6712434
0.4669237,0.4669237,0.4669237,0.4669238,0.4669237
0.4923683,0.4923683,0.5182824,0.5441965,0.4923683
0.5870743,0.617973,0.617973,0.6488717,0.5870743
0.6417704,0.6417704,0.6738589,0.6417704,0.6417704
0.6794912,0.6794912,0.7118478,0.6147777,0.6794912
0.6865219,0.6553164,0.6553164,0.5616997,0.6865219
0.7298539,0.6663883,0.6346555,0.5394572,0.7298539
0.7773094,0.7125336,0.6801457,0.5182062,0.7773094
0.8207726,0.72228,0.72228,0.4924636,0.8207726
0.8596656,0.7274094,0.7604734,0.4628969,0.8596656
0.9010696,0.734205,0.7675779,0.4338484,0.9010696
0.9223905,0.7247356,0.7906205,0.3953102,0.9223905
0.9464282,0.7179801,0.783251,0.35899,0.9464282
0.6499333,0.4874501,0.5338738,0.2785428,0.6499333
0.621824,0.4606104,0.5066715,0.2993968,0.621824
0.9374655,0.6696184,0.7700611,0.4017709,0.9374655
0.9593071,0.6615912,0.7939094,0.3638751,0.9593071
0.6489121,0.4635088,0.533035,0.2781052,0.6489121
0.5874411,0.4133845,0.5221699,0.282842,0.5874411

