step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.5964266,0.6039613,0.5975769,0.7483718,0.6840175,0.3482056,18.33848
1,0.6105452,0.6093882,0.6544036,0.7513647,0.6278206,0.4097489,12.02329
2,0.6294025,0.6771218,0.5670447,0.7294703,0.4324556,0.7409198,15.51949
3,0.6233115,0.6432657,0.575758,0.7627442,0.4393502,0.6954391,2.276171
4,0.4764176,0.287881,0.3860531,0.65877,0.8450166,0.2043672,4.086938
5,0.4675892,0.2643927,0.4529584,0.7329708,0.768562,0.1190623,6.841318
6,0.5142224,0.3703064,0.4176002,0.7992326,0.8172132,0.1667595,15.28173
7,0.5214964,0.3658947,0.4704472,0.769667,0.7899117,0.2115614,7.123258
8,0.4688132,0.3484876,0.4053559,0.6587701,0.6840609,0.2473918,3.621816
9,0.62607,0.6964437,0.6855664,0.7513646,0.5286909,0.4682847,4.975359
10,0.6237463,0.7401474,0.7442495,0.8147212,0.3998362,0.419777,5.330224
11,0.5305781,0.471626,0.4794414,0.7996799,0.5920087,0.3101344,2.131261
12,0.5230013,0.4490527,0.4928497,0.8429687,0.5704917,0.2596437,4.421004
13,0.659765,0.8455459,0.6573346,0.8980463,0.4104103,0.4874879,4.953566
14,0.7776304,1.055689,0.6823944,0.867852,0.2402666,1.04195,4.94603
15,0.7546886,0.9305346,0.642344,0.8829803,0.2659429,1.051641,3.432187
16,0.6209424,0.7677647,0.6174828,0.7821088,0.3803654,0.5569901,0
17,0.6535847,0.8455461,0.6261334,0.8591967,0.4046075,0.5324398,1.388315
18,0.6823416,0.9281134,0.6765903,0.892436,0.3459636,0.5686044,2.598768
19,0.6403065,0.8125174,0.6232418,0.8229232,0.3965181,0.5463321,1.410038

