step,OverallGrade,edgeCrossValue,nodeOverlapValue,edgeCrossAngleValue,angularResValue,edgeLengthValue,passedTime
0,0.6392795,0.6771219,0.6060611,0.7627446,0.4184286,0.7320412,24.11216
1,0.4811333,0.3181841,0.4053558,0.6917084,0.7645386,0.2258794,12.90241
2,0.5167402,0.3326317,0.448045,0.7330161,0.8776795,0.1923286,10.45603
3,0.6055084,0.6080743,0.6427609,0.7436963,0.6604766,0.3725338,10.66163
4,0.6353148,0.6916587,0.620358,0.72321,0.458691,0.6826564,9.762322
5,0.6554068,0.6646673,0.6117561,0.8061998,0.4432382,0.7511725,12.02601
6,0.6513613,0.6593361,0.6215569,0.7820573,0.4243939,0.7694622,12.40566
7,0.6620793,0.7448338,0.5953968,0.7659439,0.3892102,0.8150118,8.977443
8,0.6750621,0.7786903,0.636364,0.7627447,0.3556642,0.8418471,3.540884
9,0.7054443,0.873674,0.6823946,0.7593706,0.3494787,0.8623034,4.619217
10,0.72395,0.8308339,0.6729319,0.84459,0.3324287,0.9389655,6.730148
11,0.7438953,0.913071,0.6388942,0.8443478,0.3728954,0.950268,5.45207
12,0.7436344,0.9141141,0.6666671,0.8771563,0.2719786,0.988256,3.908846
13,0.7487692,0.9479705,0.6237495,0.8753647,0.2594734,1.037288,4.03287
14,0.5484926,0.5856771,0.6267627,0.807776,0.4246892,0.2975579,14.22624
15,0.521332,0.5079051,0.4576485,0.7996799,0.5074359,0.3339908,11.0732
16,0.7339432,0.9481893,0.5808128,0.807637,0.34626,0.9868168,3.598012
17,0.7414206,0.9479708,0.606061,0.8771564,0.2510571,1.024858,2.620006
18,0.5370969,0.5856771,0.569784,0.807776,0.4246892,0.297558,3.069086
19,0.4930997,0.493742,0.3977144,0.8355614,0.5161345,0.2223461,4.579945

