option,overallGrade,edgeCrossGrade,nodeOverlapGrade,edgeCrossAngleGrade,angularResolutionGrade,edgeLengthGrade,passedTime
alt2,0.5196567,0.4077643,0.395711,0.7321882,0.5282991,0.5343205,1.044739
alt2,0.5285811,0.4002499,0.4243589,0.6648255,0.5133637,0.6401074,8.767262
alt2,0.5310189,0.3804051,0.4658197,0.7010931,0.4878009,0.6199757,1.651174
alt2,0.5219326,0.4144543,0.4750494,0.6435853,0.4849119,0.5916621,1.313162
alt2,0.5049942,0.5900526,0.6235842,0.6525421,0.4637958,0.1949963,0.5973808
alt2,0.5059636,0.4201985,0.5271895,0.6603663,0.4530885,0.4689749,2.409644
alt2,0.5050661,0.4197278,0.5073887,0.6639604,0.429961,0.5042928,1.449452
alt2,0.4758725,0.3585589,0.5183114,0.6009312,0.4503919,0.4511689,1.43262
alt2,0.5656403,0.5907396,0.9510441,0.6068935,0.3926908,0.2868332,0.7109194
alt2,0.4464949,0.3944453,0.5191819,0.6199147,0.4194316,0.2795013,1.096503
alt2,0.5607221,0.5553321,0.9467492,0.6293404,0.3758369,0.2963517,1.232521
alt2,0.5728312,0.5894122,1.037615,0.5480632,0.3576459,0.3314196,0.9616725

