stepNumber,algorithm,task,edgeCrossingWeight,nodeOverlappingWeight,edgeCrossingAngleWeight,angularResolutionWeight,edgeLengthWeight,cameraOffset
1,ForceDirectedAlgorithm, Task2,1.004972,1.003764,0.9988842,0.9952576,0.9971225,10
2,ForceDirectedAlgorithm, Task2,1.0097,1.005515,0.9978619,0.9938797,0.9930429,10
3,ForceDirectedAlgorithm, Task2,1.015184,1.008416,0.9975279,0.9918823,0.9869896,10
4,ForceDirectedAlgorithm, Task2,1.016915,1.008362,0.9992413,0.9933274,0.9821538,10
5,ForceDirectedAlgorithm, Task2,1.020193,1.009633,1.000561,0.9926655,0.9769478,10
6,ForceDirectedAlgorithm, Task2,1.02323,1.01024,1.001025,0.9922618,0.973244,10
7,ForceDirectedAlgorithm, Task2,1.02506,1.010909,1.001549,0.9923791,0.9701027,10
8,ForceDirectedAlgorithm, Task2,1.026842,1.012162,1.001392,0.9906811,0.9689223,10
9,ForceDirectedAlgorithm, Task2,1.029441,1.013123,1.001546,0.989665,0.9662238,10

