Option,OverallGrade,EdgeCrossGradr,NodeOverlapGrade,EdgeCrossAngGrade,AngResGrade,EdgeLengthGrade,PassedTime,,,,,,,,,,,,,,
alt2,0.6516033,0.5945628,0.671863,0.7014995,0.5000986,0.7899925,98.72044,,,,,,,,,,,,,,
alt2,0.6204919,0.7792948,0.6592162,0.7075053,0.6827279,0.2737151,4.342735,,,,,,,,,,,,,,
alt2,0.5292937,0.4315243,0.4546746,0.7016205,0.5214099,0.5372388,4.108923,,,,,,,,,,,,,,
alt2,0.5239833,0.2981424,0.450138,0.7333247,0.7245269,0.4137847,4.162614,,,,,,,,,,,,,,
alt2,0.5585186,0.4592638,0.5766774,0.6827925,0.5612236,0.5126358,7.001989,,,,,,,,,,,,,,
alt2,0.5048712,0.437788,0.5094355,0.6826925,0.540871,0.3535692,8.584725,,,,,,,,,,,,,,
alt2,0.6639513,0.9533802,0.6470912,0.6987853,0.660822,0.3596781,7.452596,,,,,,,,,,,,,,
alt2,0.6398008,0.5778244,0.6821827,0.7094079,0.490239,0.7393497,0,,,,,,,,,,,,,,
alt2,0.69065,0.7790743,0.685022,0.6821632,0.5742097,0.7327813,0,,,,,,,,,,,,,,
alt2,0.6604843,0.5921472,0.6778511,0.717024,0.4844559,0.8309434,0,,,,,,,,,,,,,,
alt2,0.5801419,0.4292651,0.4981211,0.7404247,0.5378168,0.695082,9.96198,,,,,,,,,,,,,,
alt2,0.6800407,0.8924015,0.6889219,0.7492363,0.7191177,0.350526,9.577358,,,,,,,,,,,,,,
alt2,0.6660099,0.8712901,0.7339604,0.7098795,0.6611149,0.3538046,23.15598,,,,,,,,,,,,,,
alt2,0.572471,0.4301417,0.5483853,0.6973408,0.5711999,0.6152869,6.063148,,,,,,,,,,,,,,
alt2,0.6324937,0.5359975,0.7004291,0.7005842,0.4986301,0.7268275,3.564972,,,,,,,,,,,,,,
alt2,0.6922244,0.7191727,0.7254391,0.7148427,0.4968818,0.8047856,4.720551,,,,,,,,,,,,,,
alt2,0.6196195,0.5404663,0.6223539,0.7453663,0.5009269,0.688984,4.941586,,,,,,,,,,,,,,
alt2,0.5110242,0.219552,0.479743,0.6943601,0.7406337,0.4208324,3.986149,,,,,,,,,,,,,,
alt2,0.6220786,0.5419956,0.6541469,0.7192615,0.5182579,0.6767308,8.063562,,,,,,,,,,,,,,
alt2,0.5381449,0.4331025,0.3136458,0.7021455,0.789325,0.4525059,1.666154,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,OverallGrade,0.6516033,0.6204919,0.5292937,0.5239833,0.5585186,0.5048712,0.6639513,0.6398008,0.69065,0.6604843,0.5801419,0.6800407,0.6660099,0.572471,0.6324937,0.6922244,0.6196195,0.5110242,0.6220786,0.5381449
,EdgeCrossGradr,0.5945628,0.7792948,0.4315243,0.2981424,0.4592638,0.437788,0.9533802,0.5778244,0.7790743,0.5921472,0.4292651,0.8924015,0.8712901,0.4301417,0.5359975,0.7191727,0.5404663,0.219552,0.5419956,0.4331025
,NodeOverlapGrade,0.671863,0.6592162,0.4546746,0.450138,0.5766774,0.5094355,0.6470912,0.6821827,0.685022,0.6778511,0.4981211,0.6889219,0.7339604,0.5483853,0.7004291,0.7254391,0.6223539,0.479743,0.6541469,0.3136458
,EdgeCrossAngGrade,0.7014995,0.7075053,0.7016205,0.7333247,0.6827925,0.6826925,0.6987853,0.7094079,0.6821632,0.717024,0.7404247,0.7492363,0.7098795,0.6973408,0.7005842,0.7148427,0.7453663,0.6943601,0.7192615,0.7021455
,AngResGrade,0.5000986,0.6827279,0.5214099,0.7245269,0.5612236,0.540871,0.660822,0.490239,0.5742097,0.4844559,0.5378168,0.7191177,0.6611149,0.5711999,0.4986301,0.4968818,0.5009269,0.7406337,0.5182579,0.789325
,EdgeLengthGrade,0.7899925,0.2737151,0.5372388,0.4137847,0.5126358,0.3535692,0.3596781,0.7393497,0.7327813,0.8309434,0.695082,0.350526,0.3538046,0.6152869,0.7268275,0.8047856,0.688984,0.4208324,0.6767308,0.4525059
,PassedTime,98.72044,4.342735,4.108923,4.162614,7.001989,8.584725,7.452596,0,0,0,9.96198,9.577358,23.15598,6.063148,3.564972,4.720551,4.941586,3.986149,8.063562,1.666154
