Option,OverallGrade,EdgeCrossGrade,NodeOverlapGrade,EdgeCrossAngGrade,AngResGrade,EdgeLengthGrade,TimePassed,,,,,,,,,,,,,,
alt2,0.4551544,0.3978061,0.4012229,0.6969925,0.5251191,0.2546316,7.895107,,,,,,,,,,,,,,
alt2,0.4703184,0.4307789,0.4193497,0.7079206,0.5404111,0.2531315,10.61805,,,,,,,,,,,,,,
alt2,0.6244984,0.5891018,0.6929919,0.7788616,0.5100539,0.5514824,15.03722,,,,,,,,,,,,,,
alt2,0.4731883,0.4305014,0.4285449,0.6951672,0.5291102,0.2826174,3.298431,,,,,,,,,,,,,,
alt2,0.5898432,0.5894102,0.4245653,0.7145042,0.5309278,0.6898081,3.621632,,,,,,,,,,,,,,
alt2,0.5860868,0.5441756,0.6558501,0.8028163,0.5564516,0.3711405,9.451892,,,,,,,,,,,,,,
alt2,0.4962329,0.4289413,0.4697501,0.737147,0.5489097,0.2964163,4.920219,,,,,,,,,,,,,,
alt2,0.4295608,0.3323129,0.3535073,0.6960456,0.5372918,0.2286463,7.761996,,,,,,,,,,,,,,
alt2,0.57322,0.5882137,0.4001895,0.6778171,0.5198593,0.68002,5.731586,,,,,,,,,,,,,,
alt2,0.4395694,0.3628785,0.4203305,0.6366185,0.5297294,0.2482902,7.730253,,,,,,,,,,,,,,
alt2,0.5845254,0.4642397,0.4342796,0.7872522,0.5240954,0.71276,9.518455,,,,,,,,,,,,,,
alt2,0.5885094,0.6357626,0.5808797,0.7383769,0.5300297,0.4574984,2.165901,,,,,,,,,,,,,,
alt2,0.4644827,0.429478,0.3607618,0.6876282,0.5719686,0.272577,9.874321,,,,,,,,,,,,,,
alt2,0.6116033,0.6884533,0.6848374,0.7316859,0.5054734,0.4475665,8.107924,,,,,,,,,,,,,,
alt2,0.614868,0.5033818,0.4036269,0.7717697,0.5679247,0.8276367,6.271257,,,,,,,,,,,,,,
alt2,0.5863066,0.5034896,0.4960847,0.6564289,0.489708,0.7858217,7.532429,,,,,,,,,,,,,,
alt2,0.4945372,0.4656997,0.4781873,0.7154099,0.5246457,0.2887433,2.567866,,,,,,,,,,,,,,
alt2,0.4494637,0.3034841,0.4105587,0.777397,0.5202879,0.2355909,9.296703,,,,,,,,,,,,,,
alt2,0.5927079,0.6375419,0.457623,0.7054175,0.4841622,0.6787953,7.53557,,,,,,,,,,,,,,
alt2,0.5052313,0.4304966,0.4461179,0.8016342,0.5563769,0.2915308,2.203821,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,OverallGrade,0.4551544,0.4703184,0.6244984,0.4731883,0.5898432,0.5860868,0.4962329,0.4295608,0.57322,0.4395694,0.5845254,0.5885094,0.4644827,0.6116033,0.614868,0.5863066,0.4945372,0.4494637,0.5927079,0.5052313
,EdgeCrossGrade,0.3978061,0.4307789,0.5891018,0.4305014,0.5894102,0.5441756,0.4289413,0.3323129,0.5882137,0.3628785,0.4642397,0.6357626,0.429478,0.6884533,0.5033818,0.5034896,0.4656997,0.3034841,0.6375419,0.4304966
,NodeOverlapGrade,0.4012229,0.4193497,0.6929919,0.4285449,0.4245653,0.6558501,0.4697501,0.3535073,0.4001895,0.4203305,0.4342796,0.5808797,0.3607618,0.6848374,0.4036269,0.4960847,0.4781873,0.4105587,0.457623,0.4461179
,EdgeCrossAngGrade,0.6969925,0.7079206,0.7788616,0.6951672,0.7145042,0.8028163,0.737147,0.6960456,0.6778171,0.6366185,0.7872522,0.7383769,0.6876282,0.7316859,0.7717697,0.6564289,0.7154099,0.777397,0.7054175,0.8016342
,AngResGrade,0.5251191,0.5404111,0.5100539,0.5291102,0.5309278,0.5564516,0.5489097,0.5372918,0.5198593,0.5297294,0.5240954,0.5300297,0.5719686,0.5054734,0.5679247,0.489708,0.5246457,0.5202879,0.4841622,0.5563769
,EdgeLengthGrade,0.2546316,0.2531315,0.5514824,0.2826174,0.6898081,0.3711405,0.2964163,0.2286463,0.68002,0.2482902,0.71276,0.4574984,0.272577,0.4475665,0.8276367,0.7858217,0.2887433,0.2355909,0.6787953,0.2915308
,TimePassed,7.895107,10.61805,15.03722,3.298431,3.621632,9.451892,4.920219,7.761996,5.731586,7.730253,9.518455,2.165901,9.874321,8.107924,6.271257,7.532429,2.567866,9.296703,7.53557,2.203821
