Option,OverallGrade,EdgeCrossGrade,NodeOverlapGrade,EdgeCrossAngleGrade,AngResGrade,EdgeLengthGrade,PassedTime,,,,,,,,,,,,,,
chosenOption,0.5712807,0.4680747,0.4184663,0.7076378,0.5213114,0.7409133,11.72875,,,,,,,,,,,,,,
chosenOption,0.5771604,0.5050583,0.4637948,0.7143539,0.5152478,0.6873472,13.54951,,,,,,,,,,,,,,
chosenOption,0.5663416,0.5451059,0.4070087,0.693731,0.5131404,0.6727218,22.27817,,,,,,,,,,,,,,
chosenOption,0.5978432,0.5456176,0.4521471,0.7619719,0.5281162,0.7013629,21.15742,,,,,,,,,,,,,,
chosenOption,0.4643976,0.3639711,0.4843882,0.6929151,0.5174906,0.2632228,9.079196,,,,,,,,,,,,,,
chosenOption,0.4463789,0.3324093,0.3556454,0.71193,0.5535997,0.2783099,12.98679,,,,,,,,,,,,,,
chosenOption,0.5906016,0.5875179,0.6402392,0.7397442,0.5346294,0.450877,13.31626,,,,,,,,,,,,,,
chosenOption,0.6136898,0.5879258,0.5374357,0.7387057,0.5097808,0.6946014,12.64056,,,,,,,,,,,,,,
chosenOption,0.4708692,0.4294493,0.4144419,0.7681954,0.528469,0.2137903,14.80292,,,,,,,,,,,,,,
chosenOption,0.5641051,0.429031,0.4145675,0.7149897,0.5169365,0.7450007,16.10481,,,,,,,,,,,,,,
chosenOption,0.588949,0.6344567,0.6333925,0.6896062,0.5148463,0.4724429,10.47918,,,,,,,,,,,,,,
chosenOption,0.5568434,0.5441025,0.3425966,0.6972203,0.5189502,0.6813473,5.563911,,,,,,,,,,,,,,
chosenOption,0.5756676,0.5443206,0.3499669,0.7736139,0.5107224,0.6997144,5.896704,,,,,,,,,,,,,,
chosenOption,0.594707,0.5442225,0.3387299,0.77687,0.5451916,0.7685208,6.331443,,,,,,,,,,,,,,
chosenOption,0.4575786,0.429349,0.4500379,0.6660304,0.547649,0.1948266,11.62208,,,,,,,,,,,,,,
chosenOption,0.6075241,0.6359625,0.7155399,0.6924838,0.5206147,0.4730193,4.120055,,,,,,,,,,,,,,
chosenOption,0.6067417,0.636452,0.6965317,0.7243932,0.5494399,0.4268917,12.02514,,,,,,,,,,,,,,
chosenOption,0.6238015,0.7483578,0.6361988,0.7288036,0.5199708,0.4856766,10.16957,,,,,,,,,,,,,,
chosenOption,0.5530249,0.50474,0.643896,0.7537599,0.5095626,0.3531659,4.044272,,,,,,,,,,,,,,
chosenOption,0.5936643,0.6902104,0.6334504,0.6960228,0.5141781,0.4344597,5.205124,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,OverallGrade,0.5712807,0.5771604,0.5663416,0.5978432,0.4643976,0.4463789,0.5906016,0.6136898,0.4708692,0.5641051,0.588949,0.5568434,0.5756676,0.594707,0.4575786,0.6075241,0.6067417,0.6238015,0.5530249,0.5936643
,EdgeCrossGrade,0.4680747,0.5050583,0.5451059,0.5456176,0.3639711,0.3324093,0.5875179,0.5879258,0.4294493,0.429031,0.6344567,0.5441025,0.5443206,0.5442225,0.429349,0.6359625,0.636452,0.7483578,0.50474,0.6902104
,NodeOverlapGrade,0.4184663,0.4637948,0.4070087,0.4521471,0.4843882,0.3556454,0.6402392,0.5374357,0.4144419,0.4145675,0.6333925,0.3425966,0.3499669,0.3387299,0.4500379,0.7155399,0.6965317,0.6361988,0.643896,0.6334504
,EdgeCrossAngleGrade,0.7076378,0.7143539,0.693731,0.7619719,0.6929151,0.71193,0.7397442,0.7387057,0.7681954,0.7149897,0.6896062,0.6972203,0.7736139,0.77687,0.6660304,0.6924838,0.7243932,0.7288036,0.7537599,0.6960228
,AngResGrade,0.5213114,0.5152478,0.5131404,0.5281162,0.5174906,0.5535997,0.5346294,0.5097808,0.528469,0.5169365,0.5148463,0.5189502,0.5107224,0.5451916,0.547649,0.5206147,0.5494399,0.5199708,0.5095626,0.5141781
,EdgeLengthGrade,0.7409133,0.6873472,0.6727218,0.7013629,0.2632228,0.2783099,0.450877,0.6946014,0.2137903,0.7450007,0.4724429,0.6813473,0.6997144,0.7685208,0.1948266,0.4730193,0.4268917,0.4856766,0.3531659,0.4344597
,PassedTime,11.72875,13.54951,22.27817,21.15742,9.079196,12.98679,13.31626,12.64056,14.80292,16.10481,10.47918,5.563911,5.896704,6.331443,11.62208,4.120055,12.02514,10.16957,4.044272,5.205124
