Option,OverallGrade,EdgeCrossGrade,NodeOverlapGrade,EdgeCrossAngGrade,AngResGrade,EdgeLengthGrade,PassedTime,,,,,,,,,,,,,,
chosenOption,0.6926401,0.8251705,0.6588055,0.7482389,0.4592976,0.7716883,10.4221,,,,,,,,,,,,,,
chosenOption,0.6836536,0.7804711,0.6316155,0.7037045,0.46922,0.8332572,3.307738,,,,,,,,,,,,,,
chosenOption,0.7005978,0.8252944,0.6263869,0.7167139,0.5120773,0.8225167,10.87363,,,,,,,,,,,,,,
chosenOption,0.6882403,0.8737001,0.6316409,0.7271538,0.4397118,0.7689949,5.567503,,,,,,,,,,,,,,
chosenOption,0.6813523,0.7806557,0.6909072,0.7120728,0.4753199,0.747806,30.29748,,,,,,,,,,,,,,
chosenOption,0.6651076,0.7806917,0.621237,0.6567163,0.4894248,0.7774683,5.108867,,,,,,,,,,,,,,
chosenOption,0.7035221,0.849217,0.6161186,0.6989247,0.5057364,0.8476139,10.89986,,,,,,,,,,,,,,
chosenOption,0.6941761,0.8492717,0.6760652,0.7385728,0.476835,0.7301357,3.96605,,,,,,,,,,,,,,
chosenOption,0.6916644,0.8615126,0.6035409,0.6923491,0.5148618,0.7860574,5.865271,,,,,,,,,,,,,,
chosenOption,0.6532556,0.7808612,0.6369664,0.6665103,0.4026121,0.779328,10.80123,,,,,,,,,,,,,,
chosenOption,0.7111576,0.8374304,0.6588953,0.7619476,0.524381,0.7731337,26.15634,,,,,,,,,,,,,,
chosenOption,0.5680524,0.6809152,0.586485,0.653925,0.5307751,0.3881617,8.263584,,,,,,,,,,,,,,
chosenOption,0.6671085,0.8142411,0.598603,0.6933753,0.3941073,0.835216,2.138825,,,,,,,,,,,,,,
chosenOption,0.6716384,0.8142622,0.5631462,0.7314622,0.4181151,0.8312064,5.629613,,,,,,,,,,,,,,
chosenOption,0.6939532,0.8029861,0.6264101,0.6826047,0.4757914,0.8819734,24.40112,,,,,,,,,,,,,,
chosenOption,0.5986114,0.7809898,0.5961334,0.7323173,0.5423056,0.3413107,4.863924,,,,,,,,,,,,,,
chosenOption,0.659768,0.7810135,0.6212293,0.7575008,0.4160552,0.7230411,17.99294,,,,,,,,,,,,,,
chosenOption,0.6934928,0.8375828,0.5888695,0.7474691,0.4197733,0.873769,7.123702,,,,,,,,,,,,,,
chosenOption,0.675227,0.8375967,0.5585991,0.6973034,0.5217845,0.7608516,10.58469,,,,,,,,,,,,,,
chosenOption,0.6602243,0.7919573,0.5700074,0.676722,0.5268591,0.7355754,3.440527,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,OverallGrade,0.6926401,0.6836536,0.7005978,0.6882403,0.6813523,0.6651076,0.7035221,0.6941761,0.6916644,0.6532556,0.7111576,0.5680524,0.6671085,0.6716384,0.6939532,0.5986114,0.659768,0.6934928,0.675227,0.6602243
,EdgeCrossGrade,0.8251705,0.7804711,0.8252944,0.8737001,0.7806557,0.7806917,0.849217,0.8492717,0.8615126,0.7808612,0.8374304,0.6809152,0.8142411,0.8142622,0.8029861,0.7809898,0.7810135,0.8375828,0.8375967,0.7919573
,NodeOverlapGrade,0.6588055,0.6316155,0.6263869,0.6316409,0.6909072,0.621237,0.6161186,0.6760652,0.6035409,0.6369664,0.6588953,0.586485,0.598603,0.5631462,0.6264101,0.5961334,0.6212293,0.5888695,0.5585991,0.5700074
,EdgeCrossAngGrade,0.7482389,0.7037045,0.7167139,0.7271538,0.7120728,0.6567163,0.6989247,0.7385728,0.6923491,0.6665103,0.7619476,0.653925,0.6933753,0.7314622,0.6826047,0.7323173,0.7575008,0.7474691,0.6973034,0.676722
,AngResGrade,0.4592976,0.46922,0.5120773,0.4397118,0.4753199,0.4894248,0.5057364,0.476835,0.5148618,0.4026121,0.524381,0.5307751,0.3941073,0.4181151,0.4757914,0.5423056,0.4160552,0.4197733,0.5217845,0.5268591
,EdgeLengthGrade,0.7716883,0.8332572,0.8225167,0.7689949,0.747806,0.7774683,0.8476139,0.7301357,0.7860574,0.779328,0.7731337,0.3881617,0.835216,0.8312064,0.8819734,0.3413107,0.7230411,0.873769,0.7608516,0.7355754
,PassedTime,10.4221,3.307738,10.87363,5.567503,30.29748,5.108867,10.89986,3.96605,5.865271,10.80123,26.15634,8.263584,2.138825,5.629613,24.40112,4.863924,17.99294,7.123702,10.58469,3.440527
