Option,OverallGrade,EdgeCrossGrade,NodeOverlapGrade,EdgeCrossAngGrade,AngResGrade,EdgeLengthGrade,PassedTime,,,,,,,,,,,,,,
alt2,0.5576472,0.4445229,0.5082991,0.7448674,0.4864511,0.6040952,2.432972,,,,,,,,,,,,,,
alt2,0.4972276,0.5219257,0.5412123,0.6931444,0.4657094,0.2641461,4.249652,,,,,,,,,,,,,,
alt2,0.5658475,0.4445468,0.4590639,0.7729637,0.5116248,0.641038,3.858305,,,,,,,,,,,,,,
alt2,0.5219739,0.408115,0.4634295,0.7565576,0.4749486,0.5068187,10.46573,,,,,,,,,,,,,,
alt2,0.4751098,0.4824457,0.5460364,0.6668457,0.4735803,0.2066409,9.306207,,,,,,,,,,,,,,
alt2,0.5198361,0.4445608,0.3920891,0.7056609,0.4995985,0.5572712,1.498796,,,,,,,,,,,,,,
alt2,0.5046033,0.5632666,0.5484636,0.6748537,0.4828274,0.2536049,6.351309,,,,,,,,,,,,,,
alt2,0.5677153,0.4445718,0.4418524,0.7242952,0.561972,0.6658852,2.676212,,,,,,,,,,,,,,
alt2,0.5227868,0.5632797,0.563115,0.7137327,0.5136619,0.2601447,3.724615,,,,,,,,,,,,,,
alt2,0.5220279,0.4824764,0.4722434,0.688201,0.4814301,0.4857884,6.918826,,,,,,,,,,,,,,
alt2,0.513467,0.5219861,0.5582114,0.6996678,0.4750522,0.3124175,7.140572,,,,,,,,,,,,,,
alt2,0.5686467,0.4445906,0.558215,0.6727343,0.5301857,0.6375082,8.473833,,,,,,,,,,,,,,
alt2,0.5124773,0.5219904,0.5317189,0.7518931,0.4804783,0.2763056,4.465394,,,,,,,,,,,,,,
alt2,0.5636649,0.5219933,0.4022476,0.7281533,0.5408078,0.6251222,2.064271,,,,,,,,,,,,,,
alt2,0.5605282,0.4081602,0.4187146,0.7628666,0.515911,0.6969887,12.15813,,,,,,,,,,,,,,
alt2,0.5737532,0.4445989,0.5830796,0.7325855,0.5615351,0.5469666,2.288605,,,,,,,,,,,,,,
alt2,0.5058507,0.5220045,0.6061306,0.6209869,0.5235658,0.2565659,6.792726,,,,,,,,,,,,,,
alt2,0.5169755,0.4824983,0.4504434,0.6373245,0.5190021,0.4956093,0,,,,,,,,,,,,,,
alt2,0.5451216,0.5220085,0.4270671,0.7542042,0.5191137,0.5032144,2.577199,,,,,,,,,,,,,,
alt2,0.5018123,0.3730594,0.4083923,0.6796021,0.5525514,0.4954565,4.120035,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,OverallGrade,0.5576472,0.4972276,0.5658475,0.5219739,0.4751098,0.5198361,0.5046033,0.5677153,0.5227868,0.5220279,0.513467,0.5686467,0.5124773,0.5636649,0.5605282,0.5737532,0.5058507,0.5169755,0.5451216,0.5018123
,EdgeCrossGrade,0.4445229,0.5219257,0.4445468,0.408115,0.4824457,0.4445608,0.5632666,0.4445718,0.5632797,0.4824764,0.5219861,0.4445906,0.5219904,0.5219933,0.4081602,0.4445989,0.5220045,0.4824983,0.5220085,0.3730594
,NodeOverlapGrade,0.5082991,0.5412123,0.4590639,0.4634295,0.5460364,0.3920891,0.5484636,0.4418524,0.563115,0.4722434,0.5582114,0.558215,0.5317189,0.4022476,0.4187146,0.5830796,0.6061306,0.4504434,0.4270671,0.4083923
,EdgeCrossAngGrade,0.7448674,0.6931444,0.7729637,0.7565576,0.6668457,0.7056609,0.6748537,0.7242952,0.7137327,0.688201,0.6996678,0.6727343,0.7518931,0.7281533,0.7628666,0.7325855,0.6209869,0.6373245,0.7542042,0.6796021
,AngResGrade,0.4864511,0.4657094,0.5116248,0.4749486,0.4735803,0.4995985,0.4828274,0.561972,0.5136619,0.4814301,0.4750522,0.5301857,0.4804783,0.5408078,0.515911,0.5615351,0.5235658,0.5190021,0.5191137,0.5525514
,EdgeLengthGrade,0.6040952,0.2641461,0.641038,0.5068187,0.2066409,0.5572712,0.2536049,0.6658852,0.2601447,0.4857884,0.3124175,0.6375082,0.2763056,0.6251222,0.6969887,0.5469666,0.2565659,0.4956093,0.5032144,0.4954565
,PassedTime,2.432972,4.249652,3.858305,10.46573,9.306207,1.498796,6.351309,2.676212,3.724615,6.918826,7.140572,8.473833,4.465394,2.064271,12.15813,2.288605,6.792726,0,2.577199,4.120035
